2019-10-15 20:47:50,111 INFO  container.ReplicationManager (ReplicationManager.java:start(162)) - Starting Replication Monitor Thread.
2019-10-15 20:47:50,123 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 5 milliseconds for processing 0 containers.
2019-10-15 20:47:51,645 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(518)) - Container #6085386760837599232 is under replicated. Expected replica count is 3, but found 2.
2019-10-15 20:47:51,646 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(681)) - Sending replicate container command for container #6085386760837599232 to datanode 6d9263b5-e6f5-4970-9cac-15185c8288fb{ip: 241.66.85.130, host: localhost-241.66.85.130, networkLocation: /default-rack, certSerialId: null}
2019-10-15 20:47:51,659 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 1158 milliseconds for processing 1 containers.
2019-10-15 20:47:51,660 INFO  container.ReplicationManager (ReplicationManager.java:stop(203)) - Stopping Replication Monitor Thread.
2019-10-15 20:47:51,716 INFO  container.ReplicationManager (ReplicationManager.java:start(162)) - Starting Replication Monitor Thread.
2019-10-15 20:47:51,718 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 0 milliseconds for processing 0 containers.
2019-10-15 20:47:51,823 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 4 milliseconds for processing 1 containers.
2019-10-15 20:47:51,918 INFO  container.ReplicationManager (ReplicationManager.java:stop(203)) - Stopping Replication Monitor Thread.
2019-10-15 20:47:51,951 INFO  container.ReplicationManager (ReplicationManager.java:start(162)) - Starting Replication Monitor Thread.
2019-10-15 20:47:51,953 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-10-15 20:47:52,059 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(464)) - Force closing container #4580307644674345984 with BCSID 10000, which is in QUASI_CLOSED state.
2019-10-15 20:47:52,062 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #4580307644674345984 to datanode 4f9032cd-e90b-4315-8b59-5bc2b9e80010{ip: 12.252.199.232, host: localhost-12.252.199.232, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,065 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #4580307644674345984 to datanode 970d9454-618b-4c02-a237-ba28b3edbc74{ip: 132.206.115.31, host: localhost-132.206.115.31, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,065 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #4580307644674345984 to datanode 21a2ab6a-092b-4799-880e-94f6394745dc{ip: 27.75.201.29, host: localhost-27.75.201.29, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,068 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 14 milliseconds for processing 1 containers.
2019-10-15 20:47:52,154 INFO  container.ReplicationManager (ReplicationManager.java:stop(203)) - Stopping Replication Monitor Thread.
2019-10-15 20:47:52,184 INFO  container.ReplicationManager (ReplicationManager.java:start(162)) - Starting Replication Monitor Thread.
2019-10-15 20:47:52,186 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-10-15 20:47:52,288 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode 4ddf9c10-291d-49cf-9b9e-b5aad5297f8e{ip: 181.240.38.204, host: localhost-181.240.38.204, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,289 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode 0704802d-0628-46a7-b24e-75d881e12d1b{ip: 228.99.109.5, host: localhost-228.99.109.5, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,289 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode f7803a33-97db-448d-89d4-7c73f8545eef{ip: 158.33.20.212, host: localhost-158.33.20.212, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,289 INFO  container.ReplicationManager (ReplicationManager.java:run(225)) - Replication Monitor Thread took 4 milliseconds for processing 1 containers.
2019-10-15 20:47:52,387 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode 4ddf9c10-291d-49cf-9b9e-b5aad5297f8e{ip: 181.240.38.204, host: localhost-181.240.38.204, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,388 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode 0704802d-0628-46a7-b24e-75d881e12d1b{ip: 228.99.109.5, host: localhost-228.99.109.5, networkLocation: /default-rack, certSerialId: null}.
2019-10-15 20:47:52,388 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(659)) - Sending close container command for container #6692815381491552256 to datanode f7803a33-97db-448d-89d4-7c73f8545eef{ip: 158.33.20.212, host: localhost-158.33.20.212, networkLocation: /default-rack, certSerialId: null}.
